freq,ref_area,commodity,transaction,unit_measure,time_period,value,unit_mult,obs_status,conversion_factor,_ab_source_file_last_modified,_ab_source_file_url
A,004,7000,12,GWHR,1990,897,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1991,800,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1992,659,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1993,650,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1994,640,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1995,626,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1996,616,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1997,603,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1998,594,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,1999,614,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2000,617,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2001,620,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2002,652,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2003,827,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2004,793,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2005,843,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2006,1255,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2007,1472,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2008,1368,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2009,1572,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2010,2430,0,A,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2011,3275,0,E,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
A,004,7000,12,GWHR,2012,3631,0,A,3.6,2024-06-07T11:36:19.000000Z,total_electricity_consumed.csv
