Country or Area,M49 code,ISO-alpha3 code,_ab_source_file_last_modified,_ab_source_file_url
Afghanistan,4.0,AFG,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Aland Islands,248.0,ALA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Albania,8.0,ALB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Algeria,12.0,DZA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
American Samoa,16.0,ASM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Andorra,20.0,AND,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Angola,24.0,AGO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Anguilla,660.0,AIA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Antarctica,10.0,ATA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Antigua and Barbuda,28.0,ATG,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Argentina,32.0,ARG,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Armenia,51.0,ARM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Aruba,533.0,ABW,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Australia,36.0,AUS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Austria,40.0,AUT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Azerbaijan,31.0,AZE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bahamas,44.0,BHS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bahrain,48.0,BHR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bangladesh,50.0,BGD,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Barbados,52.0,BRB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Belarus,112.0,BLR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Belgium,56.0,BEL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Belize,84.0,BLZ,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Benin,204.0,BEN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bermuda,60.0,BMU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bhutan,64.0,BTN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bolivia (Plurinational State of),68.0,BOL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
"Bonaire, Sint Eustatius and Saba",535.0,BES,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Bosnia and Herzegovina,70.0,BIH,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Botswana,72.0,BWA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
