code,commodity,_ab_source_file_last_modified,_ab_source_file_url
100,Hard Coal,2024-05-28T20:18:11.000000Z,commodity_codes.csv
110,Anthracite,2024-05-28T20:18:11.000000Z,commodity_codes.csv
121,Coking coal,2024-05-28T20:18:11.000000Z,commodity_codes.csv
129,Other bituminous coal,2024-05-28T20:18:11.000000Z,commodity_codes.csv
200,Brown Coal,2024-05-28T20:18:11.000000Z,commodity_codes.csv
210,Sub-bituminous coal,2024-05-28T20:18:11.000000Z,commodity_codes.csv
220,Lignite,2024-05-28T20:18:11.000000Z,commodity_codes.csv
311,Coke Oven Coke,2024-05-28T20:18:11.000000Z,commodity_codes.csv
312,Gas Coke,2024-05-28T20:18:11.000000Z,commodity_codes.csv
320,Patent fuel,2024-05-28T20:18:11.000000Z,commodity_codes.csv
330,Brown Coal Briquettes,2024-05-28T20:18:11.000000Z,commodity_codes.csv
340,Coal Tar,2024-05-28T20:18:11.000000Z,commodity_codes.csv
350,Coke Oven Gas,2024-05-28T20:18:11.000000Z,commodity_codes.csv
360,Gasworks Gas,2024-05-28T20:18:11.000000Z,commodity_codes.csv
371,Blast Furnace Gas,2024-05-28T20:18:11.000000Z,commodity_codes.csv
379,Other recovered gases,2024-05-28T20:18:11.000000Z,commodity_codes.csv
390,Other coal products,2024-05-28T20:18:11.000000Z,commodity_codes.csv
1100,Peat,2024-05-28T20:18:11.000000Z,commodity_codes.csv
1200,Peat Products,2024-05-28T20:18:11.000000Z,commodity_codes.csv
2000,Oil Shale / Oil Sands,2024-05-28T20:18:11.000000Z,commodity_codes.csv
3000,Natural Gas (including LNG),2024-05-28T20:18:11.000000Z,commodity_codes.csv
4100,Conventional crude oil,2024-05-28T20:18:11.000000Z,commodity_codes.csv
4200,Natural Gas Liquids,2024-05-28T20:18:11.000000Z,commodity_codes.csv
4300,Refinery Feedstocks,2024-05-28T20:18:11.000000Z,commodity_codes.csv
4400,Additives and Oxygenates,2024-05-28T20:18:11.000000Z,commodity_codes.csv
4500,Other hydrocarbons,2024-05-28T20:18:11.000000Z,commodity_codes.csv
4610,Refinery Gas,2024-05-28T20:18:11.000000Z,commodity_codes.csv
4620,Ethane,2024-05-28T20:18:11.000000Z,commodity_codes.csv
