code,transaction,_ab_source_file_last_modified,_ab_source_file_url
01,Production,2024-06-03T13:28:12.000000Z,transaction_codes.csv
010,Production from off-shore,2024-06-03T13:28:12.000000Z,transaction_codes.csv
013,Production from refineries,2024-06-03T13:28:12.000000Z,transaction_codes.csv
014,Production from plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01BI,Production from biogases,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01CL,Production from hard coal,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01CP,Production from solid coal products,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01CR,Production from crude oil,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01DL,Production from gas oil/diesel oil,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01LB,Production from brown coal,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01LBF,Production from liquid biofuels,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01MG,Production from manufactured gases,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01NG,Production from natural gas,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01NRW,Production from non-renewable waste,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01OS,Production from oil shale,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01PP,Production from other oil products,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01PT,Production from peat,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01RF,Production from fuel oil,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01RW,Production from renewable municipal waste,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01SBF,Production from solid biofuels,2024-06-03T13:28:12.000000Z,transaction_codes.csv
01BS,Production from bagasse,2024-06-03T13:28:12.000000Z,transaction_codes.csv
EP,"Production, Main activity producers total",2024-06-03T13:28:12.000000Z,transaction_codes.csv
015C,Production from combustible fuels – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015CC,Production from combustible fuels – Main activity – CHP plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015CE,Production from combustible fuels – Main activity – Electricity plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015CH,Production from combustible fuels – Main activity – Heat plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015EB,Production from electric boilers - Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015G,Production from Geothermal – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015GC,Production from Geothermal – Main activity - CHP plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015GE,Production from Geothermal – Main activity - Electricity plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015GH,Production from Geothermal – Main activity – Heat plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015H,Production from chemical heat/sources – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015HC,Production from chemical heat/sources – Main activity – CHP plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015HE,Production from chemical heat/sources – Main activity – Electricity plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015HP,Production from heat pumps - Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015HY,Production from Hydro – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015PH,Of which production from pumped hydro – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015N,Production from Nuclear – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015NC,Production from Nuclear – Main activity - CHP plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015NE,Production from Nuclear – Main activity - Electricity plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015NH,Production from Nuclear – Main activity - Heat plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015O,Production from other sources – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015OC,Production from other sources – Main activity – CHP plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015OE,Production from other sources – Main activity – Electricity plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015OH,Production from other sources – Main activity – Heat plants,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015S,Production from Solar – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015SP,Production from Solar PV – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015ST,Production from Solar thermal – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
015T,"Production from Tide, wave and marine – Main activity",2024-06-03T13:28:12.000000Z,transaction_codes.csv
015W,Production from Wind – Main activity,2024-06-03T13:28:12.000000Z,transaction_codes.csv
SP,"Production, Autoproducers total",2024-06-03T13:28:12.000000Z,transaction_codes.csv
